TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO
1751155200,2025-06-29,0,107346.44,107543.84,107515.02,107311.57,169.6,18223906.38
1751158800,2025-06-29,1,107515.02,107519.65,107367.3,107363.71,110.78,11902970.59
1751162400,2025-06-29,2,107367.3,107389.94,107345.77,107233.58,133.51,14325576.77
1751166000,2025-06-29,3,107345.77,107345.77,107266.71,107247.51,61.16,6562834.25
1751169600,2025-06-29,4,107266.71,107310.57,107309.84,107263.59,40.18,4310778.87
1751173200,2025-06-29,5,107309.84,107353.75,107342.41,107263.86,35.28,3785480.37
1751176800,2025-06-29,6,107342.41,107427.05,107415.95,107342.14,38.81,4167967.17
1751180400,2025-06-29,7,107415.95,107440.74,107440.74,107376.01,53.19,5712513.39
1751184000,2025-06-29,8,107440.74,107752.26,107733.69,107437.97,233.5,25132923.15
1751187600,2025-06-29,9,107733.69,108005.15,107932.38,107676.34,347.28,37461490.07
1751191200,2025-06-29,10,107932.38,108322.85,108188.5,107904.85,546.25,59072344.99
1751194800,2025-06-29,11,108188.5,108507.21,108506.61,108131.88,281.05,30442178.51
1751198400,2025-06-29,12,108506.61,108538.36,108227.11,108074.62,351.13,38023076.48
1751202000,2025-06-29,13,108227.11,108261.53,108099.12,108065.68,191.97,20762248.29
1751205600,2025-06-29,14,108099.12,108243.29,107979.01,107823.97,316.72,34207857.68
1751209200,2025-06-29,15,107979.01,108056.86,107786.28,107690.14,266.27,28729068.59
1751212800,2025-06-29,16,107786.28,107820.52,107576.75,107574.53,185.35,19962028.02
